Sample site,Location-N,Location-E,Altitude (m),Mean annual precipitation (mm),Vegetation type,Collected species,N2-fixing,Mycorrhizal types*,_13C (ä),_15N (ä),
"Sanchaxiang, Shanxi",35¡36«N,112¡42«E,1100,584.6,Shrubs,Ziziphus jujuba var.spinosa (Bunge)Hu,No,AM,-28.47,0.81,
"Sanchaxiang, Shanxi",35¡36«N,112¡42«E,1100,584.6,Shrubs,Artemisia vulgaris L.,No,AM,-28.7,-1.5,
"humenggou, Shanxi",35¡37«N,112¡50«E,1056,582.4,Shrubs,Artemisia annua L.,No,AM,-29.61,-0.17,
"humenggou, Shanxi",35¡37«N,112¡50«E,1056,582.4,Shrubs,Artemisia vulgaris L.,No,AM,-28.51,-1.51,
"humenggou, Shanxi",35¡37«N,112¡50«E,1056,582.4,Shrubs,Caragana microphylla Laxm.,Yes,AM,-28.45,0.91,
"Heshui, Shanxi",35¡57«N,113¡04«E,1100,562.7,Shrubs,Artemisia annua L.,No,AM,-28.73,0.92,
"Heshui, Shanxi",35¡57«N,113¡04«E,1100,562.7,Shrubs,Artemisia vulgaris L. ,No,AM,-28.15,1.12,
"Heshui, Shanxi",35¡57«N,113¡04«E,1100,562.7,Shrubs,Bothriochloa ischaemum (L.) Keng,No,AM,-14.65,4.32,
"Heshui, Shanxi",35¡57«N,113¡04«E,1100,562.7,Shrubs,Achnatherum splendens(Trin.) Nevski,No,AM,-15.3,4.8,
"Taibai, Shanxi",36¡07«N,113¡42«E,1090,556.9,Shrubs,Caragana microphylla Laxm.,Yes,AM,-28.5,1.07,
"Taibai, Shanxi",36¡07«N,113¡42«E,1090,556.9,Shrubs,Artemisia vulgaris L.,No,AM,-28.8,0.91,
"Ziwuling, Shanxi",36¡05«N,113¡21«E,1320,552.7,Forest,Pinus tabulaeformis Carr.,No,Ecto,-30.04,-2.32,
"Jiyizhen, Shaanxi",36¡50«N,110¡28«E,631,531.9,Shrubs,Artemisia annua L.,No,AM,-30.1,-2.66,
"Jiyizhen, Shaanxi",36¡50«N,110¡28«E,631,531.9,Shrubs,Ziziphus jujuba var.spinosa (Bunge)Hu,No,AM,-27.97,1.66,
"Jiyizhen, Shaanxi",36¡50«N,110¡28«E,631,531.9,Shrubs,Setaria viridis (L.) Beauv.,No,AM,-14.29,-3.21,
"Xiahuaxiang, Shaanxi",36¡48«N,110¡36«E,794,523.9,Shrubs,Artemisia annua L.,No,AM,-28.12,-1.14,
"Xiahuaxiang, Shaanxi",36¡48«N,110¡36«E,794,523.9,Shrubs,Ziziphus jujuba var.spinosa (Bunge)Hu,No,AM,-29.77,0.91,
"Xuecunzheng, Shanxi",37¡25«N,110¡46«E,828,481,Grassland,Artemisia roxburghiana Bess. ,No,AM,-27.76,-1.9,
